Date;Easting;Northing;Elevation
2019-07-12;2640635.794;1113692.444;2857.7193
2019-07-13;2640635.793;1113692.446;2857.71875
2019-07-14;2640635.789;1113692.441;2857.7143
2019-07-15;2640635.789;1113692.435;2857.7134
2019-07-16;2640635.792;1113692.439;2857.7153
2019-07-17;2640635.789;1113692.438;2857.7175
2019-07-18;2640635.789;1113692.437;2857.71725
2019-07-19;2640635.79;1113692.437;2857.7158
2019-07-20;2640635.787;1113692.435;2857.71455
2019-07-21;2640635.788;1113692.435;2857.7178
2019-07-22;2640635.786;1113692.434;2857.718
2019-07-23;2640635.786;1113692.432;2857.7161
2019-07-24;2640635.785;1113692.433;2857.7153
2019-07-27;2640635.78;1113692.43;2857.71065
2019-07-28;2640635.779;1113692.429;2857.7106
2019-07-29;2640635.779;1113692.427;2857.7149
2019-07-30;2640635.779;1113692.425;2857.713
2019-07-31;2640635.775;1113692.427;2857.7071
2019-08-07;2640635.767;1113692.407;2857.6829
2019-08-08;2640635.77;1113692.408;2857.6861
2019-08-09;2640635.769;1113692.407;2857.6823
2019-08-10;2640635.769;1113692.407;2857.6776
2019-08-11;2640635.767;1113692.406;2857.6733
2019-08-13;2640635.77;1113692.408;2857.6758
2019-08-14;2640635.77;1113692.405;2857.674
2019-08-15;2640635.768;1113692.406;2857.67025
2019-08-16;2640635.767;1113692.403;2857.668
2019-08-17;2640635.759;1113692.39;2857.6686
2019-08-19;2640635.763;1113692.398;2857.6515
2019-08-20;2640635.76;1113692.39;2857.64845
2019-08-21;2640635.76;1113692.392;2857.6393
2019-08-24;2640635.767;1113692.394;2857.6419
2019-08-25;2640635.766;1113692.392;2857.638
2019-08-26;2640635.765;1113692.396;2857.6298
2019-08-27;2640635.765;1113692.396;2857.6245
2019-08-28;2640635.766;1113692.396;2857.6237
2019-08-29;2640635.763;1113692.393;2857.61985
2019-08-30;2640635.763;1113692.392;2857.6169
2019-08-31;2640635.761;1113692.387;2857.6218
2019-09-01;2640635.761;1113692.387;2857.6111
2019-09-02;2640635.757;1113692.384;2857.6058
2019-09-03;2640635.758;1113692.386;2857.60015
2019-09-04;2640635.756;1113692.385;2857.5919
2019-09-05;2640635.755;1113692.383;2857.5922
2019-09-06;2640635.758;1113692.374;2857.59
2019-09-07;2640635.754;1113692.379;2857.5964
2019-09-08;2640635.755;1113692.38;2857.5942
2019-09-09;2640635.754;1113692.38;2857.5946
2019-09-10;2640635.752;1113692.379;2857.5945
2019-09-11;2640635.751;1113692.38;2857.5905
2019-09-12;2640635.751;1113692.378;2857.5897
2019-09-13;2640635.754;1113692.376;2857.5935
2019-09-14;2640635.754;1113692.373;2857.5891
2019-09-15;2640635.751;1113692.374;2857.5876
2019-09-17;2640635.755;1113692.377;2857.5777
2019-09-18;2640635.757;1113692.381;2857.5691
2019-09-19;2640635.752;1113692.376;2857.5636
2019-09-20;2640635.749;1113692.369;2857.5745
2019-09-21;2640635.751;1113692.371;2857.56405
2019-09-22;2640635.75;1113692.371;2857.5508
2019-09-24;2640635.748;1113692.368;2857.55
2019-09-25;2640635.747;1113692.365;2857.5491
2019-09-26;2640635.747;1113692.367;2857.5439
2019-09-27;2640635.746;1113692.362;2857.5473
2019-09-28;2640635.746;1113692.36;2857.5437
2019-09-29;2640635.746;1113692.359;2857.54385
2019-09-30;2640635.742;1113692.358;2857.5388
2019-10-01;2640635.746;1113692.358;2857.5397
2019-10-02;2640635.741;1113692.355;2857.53615
2019-10-03;2640635.745;1113692.352;2857.53705
2019-10-04;2640635.745;1113692.349;2857.5352
2019-10-05;2640635.744;1113692.349;2857.53275
2019-10-06;2640635.743;1113692.345;2857.5343
2019-10-07;2640635.744;1113692.35;2857.5325
2019-10-08;2640635.74;1113692.344;2857.5356
2019-10-09;2640635.745;1113692.342;2857.5265
2019-10-10;2640635.743;1113692.34;2857.5247
2019-10-11;2640635.741;1113692.34;2857.5338
2019-10-12;2640635.74;1113692.337;2857.5328
2019-10-13;2640635.739;1113692.337;2857.5295
2019-10-14;2640635.737;1113692.338;2857.5312
2019-10-15;2640635.735;1113692.333;2857.5266
2019-10-16;2640635.738;1113692.341;2857.5276
2019-10-17;2640635.735;1113692.34;2857.5359
2019-10-18;2640635.736;1113692.341;2857.5328
2019-10-20;2640635.737;1113692.337;2857.5263
2019-10-23;2640635.732;1113692.336;2857.5327
2019-10-24;2640635.734;1113692.337;2857.5249
2019-10-25;2640635.732;1113692.335;2857.5295
2019-10-26;2640635.731;1113692.331;2857.5323
2019-10-27;2640635.73;1113692.332;2857.5273
2019-10-29;2640635.731;1113692.334;2857.5313
2019-10-30;2640635.732;1113692.332;2857.5268
2019-10-31;2640635.731;1113692.334;2857.5254
2019-11-01;2640635.732;1113692.332;2857.52425
2019-11-02;2640635.73;1113692.332;2857.52345
2019-11-03;2640635.732;1113692.331;2857.5244
2019-11-04;2640635.729;1113692.329;2857.51975
2019-11-06;2640635.729;1113692.325;2857.5154
2019-11-08;2640635.727;1113692.323;2857.5114
2019-11-09;2640635.725;1113692.322;2857.513
2019-11-10;2640635.725;1113692.322;2857.51505
2019-11-11;2640635.725;1113692.319;2857.5183
2019-11-12;2640635.725;1113692.318;2857.5195
2019-11-13;2640635.725;1113692.318;2857.5227
2019-11-14;2640635.724;1113692.318;2857.5224
2019-11-15;2640635.724;1113692.317;2857.52235
2019-11-16;2640635.724;1113692.316;2857.5189
2019-11-17;2640635.721;1113692.314;2857.5215
2019-11-19;2640635.721;1113692.311;2857.5111
2019-11-22;2640635.719;1113692.309;2857.5137
2019-11-23;2640635.719;1113692.309;2857.5162
2019-11-24;2640635.717;1113692.312;2857.51295
2019-11-25;2640635.72;1113692.309;2857.5141
2019-11-26;2640635.719;1113692.307;2857.5136
2019-11-27;2640635.718;1113692.304;2857.5166
2019-11-28;2640635.717;1113692.302;2857.5183
2019-11-30;2640635.716;1113692.301;2857.51515
2019-12-02;2640635.716;1113692.3;2857.5055
2019-12-03;2640635.715;1113692.298;2857.5074
2019-12-05;2640635.718;1113692.292;2857.5003
2019-12-06;2640635.716;1113692.293;2857.5028
2019-12-07;2640635.717;1113692.291;2857.5006
2019-12-08;2640635.715;1113692.29;2857.5009
2019-12-09;2640635.716;1113692.286;2857.4975
2019-12-10;2640635.717;1113692.287;2857.4958
2019-12-11;2640635.714;1113692.284;2857.5018
2019-12-12;2640635.713;1113692.285;2857.4988
2019-12-13;2640635.714;1113692.284;2857.4958
2019-12-14;2640635.713;1113692.28;2857.49445
2019-12-15;2640635.712;1113692.28;2857.5001
2019-12-17;2640635.711;1113692.285;2857.5056
2019-12-18;2640635.71;1113692.286;2857.5016
2019-12-19;2640635.708;1113692.284;2857.5059
2019-12-20;2640635.71;1113692.283;2857.5061
2019-12-21;2640635.711;1113692.284;2857.5052
2019-12-22;2640635.71;1113692.283;2857.5035
2019-12-23;2640635.708;1113692.283;2857.5009
2019-12-24;2640635.708;1113692.283;2857.49695
2019-12-25;2640635.708;1113692.282;2857.5017
2019-12-26;2640635.705;1113692.281;2857.5017
2019-12-27;2640635.707;1113692.283;2857.5
2019-12-28;2640635.705;1113692.28;2857.5046
2019-12-31;2640635.705;1113692.279;2857.5016
2020-01-01;2640635.705;1113692.278;2857.4966
2020-01-02;2640635.705;1113692.279;2857.4952
2020-01-03;2640635.704;1113692.276;2857.4962
2020-01-04;2640635.706;1113692.266;2857.4885
2020-01-05;2640635.704;1113692.272;2857.4937
2020-01-06;2640635.704;1113692.271;2857.4915
2020-01-07;2640635.704;1113692.267;2857.4949
2020-01-08;2640635.704;1113692.264;2857.4883
2020-01-09;2640635.703;1113692.263;2857.491
2020-01-10;2640635.702;1113692.265;2857.4885
2020-01-11;2640635.701;1113692.263;2857.4893
2020-01-12;2640635.701;1113692.26;2857.4893
2020-01-13;2640635.699;1113692.26;2857.4882
2020-01-14;2640635.699;1113692.26;2857.4895
2020-01-15;2640635.697;1113692.259;2857.49
2020-01-16;2640635.698;1113692.258;2857.4896
2020-01-17;2640635.697;1113692.257;2857.49
2020-01-18;2640635.695;1113692.259;2857.49
2020-01-19;2640635.694;1113692.259;2857.48795
2020-01-20;2640635.694;1113692.258;2857.48845
2020-05-13;2640635.643;1113692.164;2857.48575
2020-05-14;2640635.642;1113692.163;2857.4769
2020-05-15;2640635.645;1113692.162;2857.4829
2020-05-16;2640635.646;1113692.157;2857.491
2020-05-18;2640635.642;1113692.158;2857.4784
2020-05-19;2640635.639;1113692.159;2857.4746
2020-05-20;2640635.642;1113692.157;2857.4751
2020-05-21;2640635.643;1113692.155;2857.4779
2020-05-22;2640635.64;1113692.155;2857.475
2020-05-23;2640635.637;1113692.154;2857.4703
2020-05-24;2640635.64;1113692.154;2857.471
2020-05-25;2640635.637;1113692.156;2857.47285
2020-05-26;2640635.636;1113692.154;2857.47555
2020-05-27;2640635.638;1113692.154;2857.4797
2020-05-29;2640635.635;1113692.148;2857.4783
2020-05-30;2640635.635;1113692.15;2857.47455
2020-05-31;2640635.636;1113692.148;2857.4721
2020-06-01;2640635.635;1113692.147;2857.4779
2020-06-02;2640635.634;1113692.146;2857.4751
2020-06-03;2640635.634;1113692.142;2857.4717
2020-06-05;2640635.636;1113692.139;2857.4655
2020-06-06;2640635.633;1113692.138;2857.4676
2020-06-07;2640635.633;1113692.133;2857.46665
2020-06-08;2640635.632;1113692.132;2857.4695
2020-06-09;2640635.632;1113692.133;2857.4722
2020-06-10;2640635.634;1113692.132;2857.4741
2020-06-12;2640635.633;1113692.143;2857.46325
2020-06-13;2640635.631;1113692.139;2857.4618
2020-06-14;2640635.634;1113692.139;2857.4594
2020-06-15;2640635.632;1113692.135;2857.4618
2020-06-16;2640635.627;1113692.134;2857.4606
2020-06-17;2640635.629;1113692.134;2857.4716
2020-06-18;2640635.628;1113692.135;2857.47065
2020-06-19;2640635.629;1113692.132;2857.46425
2020-06-20;2640635.627;1113692.134;2857.4669
2020-06-21;2640635.632;1113692.132;2857.4713
2020-06-22;2640635.628;1113692.129;2857.4691
2020-06-23;2640635.627;1113692.131;2857.4665
2020-06-24;2640635.624;1113692.132;2857.4709
2020-06-25;2640635.625;1113692.129;2857.4724
2020-06-26;2640635.629;1113692.125;2857.474
2020-06-27;2640635.626;1113692.125;2857.4746
2020-06-28;2640635.626;1113692.122;2857.47
2020-06-29;2640635.624;1113692.121;2857.4657
2020-06-30;2640635.627;1113692.118;2857.4678
2020-07-01;2640635.624;1113692.12;2857.4668
2020-07-02;2640635.624;1113692.122;2857.4687
2020-07-03;2640635.619;1113692.116;2857.4687
2020-07-04;2640635.623;1113692.12;2857.4684
2020-07-05;2640635.622;1113692.12;2857.4713
2020-07-07;2640635.619;1113692.117;2857.46445
2020-07-08;2640635.619;1113692.119;2857.46
2020-07-09;2640635.618;1113692.116;2857.4606
