Date;Easting;Northing;Elevation
2018-03-14;2590082.039;1169843.396;1296.97435
2018-03-15;2590082.157;1169843.128;1297.3119
2018-03-18;2590081.848;1169843.445;1296.931
2018-03-19;2590081.809;1169843.453;1296.8847
2018-03-20;2590081.751;1169843.457;1296.8886
2018-03-21;2590081.71;1169843.458;1296.8524
2018-03-22;2590081.668;1169843.472;1296.8664
2018-03-23;2590081.636;1169843.473;1296.84945
2018-03-24;2590081.59;1169843.491;1296.861
2018-03-25;2590081.541;1169843.478;1296.87155
2018-03-26;2590081.506;1169843.484;1296.8751
2018-03-27;2590081.49;1169843.491;1296.806
2018-03-28;2590081.853;1169843.561;1296.8095
2018-03-29;2590081.418;1169843.505;1296.8156
2018-03-30;2590081.384;1169843.511;1296.7975
2018-04-01;2590081.294;1169843.525;1296.7883
2018-04-04;2590081.214;1169843.539;1296.7979
2018-04-06;2590081.15;1169843.55;1296.751
2018-04-07;2590081.097;1169843.56;1296.73755
2018-04-08;2590081.09;1169843.542;1296.81235
2018-04-09;2590081.015;1169843.568;1296.76215
2018-04-10;2590080.983;1169843.572;1296.7327
2018-04-11;2590080.945;1169843.586;1296.71545
2018-04-13;2590080.867;1169843.592;1296.7014
2018-04-14;2590080.848;1169843.61;1296.68775
2018-04-15;2590080.813;1169843.608;1296.6968
2018-04-18;2590080.73;1169843.62;1296.6731
2018-04-19;2590080.704;1169843.628;1296.6811
2018-04-20;2590080.681;1169843.623;1296.6719
2018-04-21;2590080.658;1169843.63;1296.6621
2018-04-22;2590080.641;1169843.638;1296.66045
2018-04-23;2590080.616;1169843.639;1296.6548
2018-04-24;2590080.605;1169843.644;1296.6376
2018-04-25;2590080.638;1169843.609;1296.746
2018-04-26;2590080.568;1169843.653;1296.6426
2018-04-27;2590080.55;1169843.66;1296.6375
2018-04-29;2590080.525;1169843.647;1296.6285
2018-04-30;2590080.522;1169843.654;1296.65265
2018-05-01;2590080.51;1169843.665;1296.6547
2018-05-02;2590080.484;1169843.648;1296.5839
2018-05-03;2590080.489;1169843.662;1296.63665
2018-05-04;2590080.472;1169843.666;1296.6213
2018-05-05;2590080.455;1169843.658;1296.6422
2018-05-06;2590080.452;1169843.667;1296.63775
2018-05-07;2590080.44;1169843.657;1296.6277
2018-05-08;2590080.428;1169843.658;1296.6183
2018-05-10;2590080.449;1169843.623;1296.717
2018-05-11;2590080.883;1169843.555;1296.9208
2018-05-12;2590080.398;1169843.655;1296.69955
2018-05-13;2590080.384;1169843.691;1296.579
2018-05-14;2590080.384;1169843.679;1296.6014
2018-05-15;2590080.386;1169843.685;1296.602
2018-05-17;2590080.344;1169843.68;1296.5722
2018-05-18;2590080.348;1169843.685;1296.60675
2018-05-19;2590080.341;1169843.685;1296.5821
2018-05-20;2590080.339;1169843.687;1296.5885
2018-05-21;2590080.334;1169843.685;1296.60055
2018-05-22;2590080.323;1169843.69;1296.6159
2018-05-23;2590080.311;1169843.69;1296.6319
2018-05-24;2590080.335;1169843.684;1296.5831
2018-05-25;2590080.309;1169843.688;1296.592
2018-05-26;2590080.303;1169843.688;1296.58895
2018-05-27;2590080.304;1169843.689;1296.5892
2018-05-28;2590080.298;1169843.694;1296.6008
2018-05-29;2590080.295;1169843.693;1296.5957
2018-05-30;2590081.389;1169843.217;1296.4804
2018-05-31;2590080.285;1169843.68;1296.5928
2018-06-01;2590080.366;1169843.638;1296.72005
2018-06-03;2590080.272;1169843.684;1296.5697
2018-06-04;2590080.145;1169843.324;1296.63565
2018-06-05;2590081.176;1169843.025;1297.5857
2018-06-08;2590080.235;1169843.927;1296.69345
2018-06-09;2590080.225;1169843.717;1296.5674
2018-06-10;2590080.223;1169843.713;1296.56975
2018-06-11;2590080.226;1169843.696;1296.5208
2018-06-12;2590080.222;1169843.717;1296.5512
2018-06-13;2590080.218;1169843.714;1296.5735
2018-06-14;2590080.215;1169843.717;1296.56265
2018-06-15;2590080.208;1169843.718;1296.5759
2018-06-17;2590080.189;1169843.532;1296.58765
2018-06-18;2590080.019;1169843.346;1296.4539
