Date;Easting;Northing;Elevation
2019-08-23;2790823.756;1152771.179;2723.74625
2019-08-24;2790823.758;1152771.18;2723.7408
2019-08-25;2790823.755;1152771.18;2723.7409
2019-08-26;2790823.757;1152771.178;2723.7452
2019-08-27;2790823.759;1152771.176;2723.7522
2019-08-28;2790823.757;1152771.176;2723.7504
2019-08-29;2790823.758;1152771.176;2723.7482
2019-08-30;2790823.758;1152771.177;2723.74575
2019-08-31;2790823.758;1152771.176;2723.7403
2019-09-01;2790823.758;1152771.179;2723.7355
2019-09-02;2790823.755;1152771.181;2723.73185
2019-09-03;2790823.756;1152771.178;2723.7416
2019-09-04;2790823.757;1152771.176;2723.74115
2019-09-05;2790823.757;1152771.176;2723.7332
2019-09-06;2790823.756;1152771.18;2723.7279
2019-09-07;2790823.755;1152771.183;2723.72905
2019-09-08;2790823.753;1152771.184;2723.7267
2019-09-09;2790823.752;1152771.184;2723.7327
2019-09-10;2790823.753;1152771.182;2723.7326
2019-09-11;2790823.753;1152771.182;2723.7339
2019-09-12;2790823.754;1152771.18;2723.7342
2019-09-13;2790823.752;1152771.182;2723.7351
2019-09-14;2790823.754;1152771.182;2723.7315
2019-09-15;2790823.75;1152771.178;2723.7332
2019-09-16;2790823.753;1152771.179;2723.7337
2019-09-17;2790823.752;1152771.178;2723.7267
2019-09-18;2790823.751;1152771.176;2723.7311
2019-09-19;2790823.752;1152771.178;2723.7287
2019-09-20;2790823.753;1152771.179;2723.7328
2019-09-21;2790823.754;1152771.18;2723.7274
2019-09-22;2790823.754;1152771.179;2723.7259
2019-09-23;2790823.754;1152771.18;2723.7198
2019-09-24;2790823.75;1152771.181;2723.7245
2019-09-25;2790823.753;1152771.18;2723.7228
2019-09-26;2790823.75;1152771.178;2723.7243
2019-09-27;2790823.754;1152771.18;2723.7213
2019-09-28;2790823.754;1152771.18;2723.7225
2019-09-30;2790823.75;1152771.178;2723.73505
2019-10-01;2790823.751;1152771.177;2723.73895
2019-10-02;2790823.75;1152771.177;2723.7279
2019-10-03;2790823.749;1152771.176;2723.7366
2019-10-05;2790823.746;1152771.178;2723.7277
2019-10-06;2790823.746;1152771.178;2723.72785
2019-10-07;2790823.744;1152771.178;2723.7281
2019-10-08;2790823.747;1152771.178;2723.7333
2019-10-09;2790823.744;1152771.177;2723.7347
2019-10-11;2790823.744;1152771.171;2723.7307
2019-10-12;2790823.744;1152771.172;2723.7323
2019-10-13;2790823.743;1152771.171;2723.7327
2019-10-14;2790823.744;1152771.171;2723.7342
2019-10-15;2790823.744;1152771.17;2723.7336
2019-10-16;2790823.743;1152771.171;2723.73735
2019-10-17;2790823.742;1152771.173;2723.73105
2019-10-18;2790823.742;1152771.175;2723.7289
2019-10-20;2790823.738;1152771.178;2723.72925
2019-10-21;2790823.741;1152771.175;2723.7271
2019-10-24;2790823.744;1152771.172;2723.7236
2019-10-25;2790823.741;1152771.172;2723.723
2019-10-26;2790823.745;1152771.169;2723.7265
2019-10-28;2790823.74;1152771.17;2723.72745
2019-10-29;2790823.739;1152771.173;2723.72945
