Date;Easting;Northing;Elevation
2019-07-12;2641003.168;1112101.988;2917.2589
2019-07-13;2641003.167;1112101.985;2917.2694
2019-07-15;2641003.166;1112101.983;2917.276
2019-07-16;2641003.163;1112101.982;2917.2757
2019-07-17;2641003.161;1112101.979;2917.27835
2019-07-18;2641003.156;1112101.983;2917.2677
2019-07-19;2641003.155;1112101.98;2917.2642
2019-07-20;2641003.155;1112101.983;2917.2701
2019-07-21;2641003.154;1112101.981;2917.2683
2019-07-22;2641003.15;1112101.98;2917.26405
2019-07-23;2641003.148;1112101.979;2917.2671
2019-07-24;2641003.146;1112101.982;2917.2661
2019-07-25;2641003.143;1112101.98;2917.2601
2019-07-26;2641003.144;1112101.983;2917.26
2019-07-27;2641003.139;1112101.983;2917.2517
2019-07-28;2641003.139;1112101.982;2917.2509
2019-07-29;2641003.134;1112101.982;2917.24365
2019-07-30;2641003.132;1112101.98;2917.256
2019-07-31;2641003.13;1112101.979;2917.2475
2019-08-01;2641003.128;1112101.977;2917.2469
2019-08-02;2641003.128;1112101.977;2917.2379
2019-08-04;2641003.128;1112101.978;2917.2491
2019-08-05;2641003.126;1112101.979;2917.2423
2019-08-06;2641003.124;1112101.979;2917.2387
2019-08-07;2641003.124;1112101.98;2917.2361
2019-08-08;2641003.119;1112101.974;2917.2459
2019-08-10;2641003.115;1112101.97;2917.2353
2019-08-11;2641003.112;1112101.965;2917.2413
2019-08-12;2641003.113;1112101.972;2917.2324
2019-08-13;2641003.108;1112101.966;2917.2386
2019-08-14;2641003.109;1112101.961;2917.2461
2019-08-15;2641003.107;1112101.957;2917.2442
2019-08-16;2641003.104;1112101.966;2917.2489
2019-08-17;2641003.101;1112101.965;2917.2304
2019-08-18;2641003.098;1112101.967;2917.2372
2019-08-19;2641003.094;1112101.968;2917.2241
2019-08-20;2641003.098;1112101.964;2917.2354
2019-08-21;2641003.089;1112101.965;2917.2213
2019-08-22;2641003.09;1112101.964;2917.2151
2019-08-23;2641003.082;1112101.965;2917.2185
2019-08-24;2641003.082;1112101.963;2917.2109
2019-08-25;2641003.077;1112101.963;2917.2163
2019-08-26;2641003.076;1112101.961;2917.2179
2019-08-27;2641003.074;1112101.963;2917.20865
2019-08-28;2641003.072;1112101.961;2917.21145
2019-08-29;2641003.071;1112101.956;2917.2252
2019-08-30;2641003.069;1112101.956;2917.2054
2019-09-01;2641003.065;1112101.959;2917.2096
2019-09-02;2641003.065;1112101.956;2917.2148
2019-09-03;2641003.061;1112101.957;2917.2129
2019-09-04;2641003.057;1112101.957;2917.2106
2019-09-05;2641003.056;1112101.955;2917.2135
2019-09-06;2641003.057;1112101.955;2917.2125
2019-09-07;2641003.05;1112101.95;2917.1962
2019-09-08;2641003.049;1112101.949;2917.19425
2019-09-09;2641003.049;1112101.946;2917.1951
2019-09-10;2641003.046;1112101.945;2917.1918
2019-09-11;2641003.045;1112101.946;2917.1969
2019-09-12;2641003.043;1112101.942;2917.1903
2019-09-13;2641003.041;1112101.94;2917.1921
2019-09-14;2641003.039;1112101.942;2917.1898
2019-09-15;2641003.036;1112101.94;2917.187
2019-09-16;2641003.033;1112101.94;2917.19185
2019-09-17;2641003.034;1112101.938;2917.187
2019-09-18;2641003.028;1112101.941;2917.195
2019-09-19;2641003.026;1112101.94;2917.1886
2019-09-21;2641003.019;1112101.945;2917.18555
2019-09-22;2641003.017;1112101.948;2917.1854
2019-09-23;2641003.015;1112101.946;2917.1869
2019-09-24;2641003.012;1112101.946;2917.1856
2019-09-25;2641003.011;1112101.945;2917.1902
2019-09-26;2641003.009;1112101.945;2917.1904
2019-09-30;2641003.004;1112101.933;2917.2033
2019-10-01;2641003.007;1112101.937;2917.2025
2019-10-02;2641003.003;1112101.937;2917.1967
2019-10-04;2641002.991;1112101.938;2917.1753
2019-10-05;2641002.985;1112101.93;2917.1597
2019-10-06;2641002.986;1112101.941;2917.1746
2019-10-07;2641002.981;1112101.939;2917.1837
2019-10-08;2641002.983;1112101.94;2917.16805
2019-10-12;2641002.981;1112101.927;2917.1828
2019-10-13;2641002.974;1112101.93;2917.16925
2019-10-14;2641002.973;1112101.927;2917.1728
2019-10-15;2641002.975;1112101.93;2917.1743
2019-10-16;2641002.969;1112101.928;2917.1713
2019-10-17;2641002.967;1112101.923;2917.1682
2019-10-18;2641002.964;1112101.923;2917.1643
2019-10-19;2641002.962;1112101.922;2917.16635
2019-10-20;2641002.958;1112101.917;2917.1603
2019-10-21;2641002.956;1112101.922;2917.15975
2019-10-22;2641002.955;1112101.918;2917.1589
2019-10-23;2641002.953;1112101.921;2917.1609
2019-10-24;2641002.949;1112101.918;2917.1527
2019-10-25;2641002.949;1112101.918;2917.147
2019-10-26;2641002.947;1112101.919;2917.1505
2019-10-27;2641002.944;1112101.918;2917.1492
2019-10-28;2641002.944;1112101.913;2917.1452
2019-10-29;2641002.942;1112101.915;2917.1486
2019-10-30;2641002.939;1112101.912;2917.1445
2019-10-31;2641002.938;1112101.912;2917.145
2019-11-01;2641002.936;1112101.913;2917.1449
2019-11-02;2641002.938;1112101.911;2917.14
2019-11-03;2641002.936;1112101.91;2917.1499
2019-11-04;2641002.933;1112101.907;2917.1446
2019-11-05;2641002.932;1112101.915;2917.1415
2019-11-06;2641002.93;1112101.914;2917.1535
2019-11-07;2641002.928;1112101.908;2917.14085
2019-11-08;2641002.923;1112101.906;2917.1538
2019-11-10;2641002.92;1112101.912;2917.1509
2019-11-11;2641002.917;1112101.913;2917.1422
2019-11-12;2641002.915;1112101.909;2917.14535
2019-11-14;2641002.911;1112101.908;2917.1469
2019-11-15;2641002.909;1112101.914;2917.1558
2019-11-16;2641002.906;1112101.913;2917.15625
2019-11-19;2641002.899;1112101.909;2917.136
2019-11-20;2641002.9;1112101.908;2917.1413
2019-11-22;2641002.9;1112101.912;2917.1235
2019-11-23;2641002.894;1112101.909;2917.133
2019-11-25;2641002.889;1112101.906;2917.1317
2019-11-27;2641002.885;1112101.902;2917.1313
2019-11-28;2641002.883;1112101.904;2917.1303
2019-11-29;2641002.882;1112101.903;2917.127
2019-12-01;2641002.878;1112101.904;2917.1316
2019-12-02;2641002.876;1112101.903;2917.1301
