Date;Easting;Northing;Elevation
2018-07-25;2790900.518;1152605.599;2734.608
2018-07-26;2790900.521;1152605.598;2734.6061
2018-07-27;2790900.516;1152605.594;2734.6091
2018-07-28;2790900.52;1152605.6;2734.6033
2018-07-29;2790900.515;1152605.596;2734.6089
2018-07-30;2790900.519;1152605.601;2734.6101
2018-07-31;2790900.514;1152605.596;2734.6066
2018-08-01;2790900.515;1152605.596;2734.6067
2018-08-02;2790900.515;1152605.599;2734.606
2018-08-03;2790900.515;1152605.599;2734.60185
2018-08-04;2790900.516;1152605.599;2734.6027
2018-08-05;2790900.511;1152605.593;2734.6035
2018-08-06;2790900.514;1152605.598;2734.6062
2018-08-07;2790900.509;1152605.594;2734.603
2018-08-08;2790900.511;1152605.595;2734.6037
2018-08-09;2790900.511;1152605.599;2734.6063
2018-08-10;2790900.508;1152605.598;2734.5996
2018-08-11;2790900.51;1152605.594;2734.6019
2018-08-12;2790900.512;1152605.603;2734.60175
2018-08-14;2790900.51;1152605.603;2734.5845
2018-08-15;2790900.508;1152605.596;2734.586
2018-08-16;2790900.511;1152605.602;2734.5887
2018-08-17;2790900.511;1152605.603;2734.5869
2018-08-18;2790900.511;1152605.603;2734.5874
2018-08-19;2790900.509;1152605.601;2734.5875
2018-08-20;2790900.504;1152605.6;2734.5869
2018-08-21;2790900.505;1152605.601;2734.5834
2018-08-23;2790900.5;1152605.601;2734.5821
2018-08-24;2790900.499;1152605.602;2734.5779
2018-08-25;2790900.498;1152605.602;2734.5804
2018-08-26;2790900.488;1152605.599;2734.5743
2018-08-27;2790900.488;1152605.603;2734.5767
2018-08-29;2790900.487;1152605.607;2734.5624
2018-08-30;2790900.486;1152605.606;2734.5599
2018-08-31;2790901.236;1152605.239;2735.0361
2018-09-01;2790900.48;1152605.606;2734.5555
2018-09-02;2790900.48;1152605.604;2734.5556
2018-09-03;2790900.477;1152605.602;2734.549
2018-09-04;2790900.475;1152605.6;2734.5481
2018-09-05;2790900.473;1152605.601;2734.5569
2018-09-06;2790900.471;1152605.599;2734.5625
2018-09-07;2790900.467;1152605.598;2734.563
2018-09-08;2790900.466;1152605.599;2734.5534
2018-09-09;2790900.464;1152605.601;2734.5585
2018-09-10;2790900.464;1152605.597;2734.555
2018-09-11;2790900.463;1152605.597;2734.5498
2018-09-12;2790900.459;1152605.596;2734.5563
2018-09-13;2790900.462;1152605.598;2734.5607
2018-09-15;2790900.459;1152605.605;2734.5559
2018-09-16;2790900.461;1152605.604;2734.5519
2018-09-17;2790900.461;1152605.604;2734.5446
2018-09-18;2790900.463;1152605.603;2734.5441
2018-09-19;2790900.459;1152605.602;2734.5368
2018-09-20;2790900.457;1152605.601;2734.5325
2018-09-21;2790900.458;1152605.602;2734.5333
2018-09-22;2790900.455;1152605.598;2734.531
2018-09-23;2790900.452;1152605.597;2734.5294
2018-09-24;2790900.451;1152605.599;2734.5204
2018-09-25;2790900.45;1152605.597;2734.5202
2018-09-26;2790900.449;1152605.597;2734.5194
2018-09-27;2790900.447;1152605.594;2734.513
2018-09-28;2790900.445;1152605.595;2734.51285
2018-09-29;2790900.444;1152605.593;2734.51465
2018-09-30;2790900.442;1152605.591;2734.5141
2018-10-01;2790900.438;1152605.592;2734.5083
2018-10-02;2790900.439;1152605.591;2734.5115
2018-10-03;2790900.438;1152605.589;2734.5057
2018-10-05;2790900.436;1152605.588;2734.5043
2018-10-06;2790900.435;1152605.593;2734.5068
2018-10-07;2790900.434;1152605.593;2734.5059
2018-10-08;2790900.435;1152605.593;2734.5073
2018-10-09;2790900.433;1152605.591;2734.50585
2018-10-10;2790900.435;1152605.589;2734.50035
2018-10-11;2790900.432;1152605.593;2734.504
2018-10-12;2790900.43;1152605.591;2734.5045
2018-10-13;2790900.429;1152605.593;2734.5043
2018-10-14;2790900.428;1152605.588;2734.5008
2018-10-15;2790900.428;1152605.594;2734.504
2018-10-16;2790900.424;1152605.594;2734.5305
2018-10-17;2790900.425;1152605.595;2734.5014
2018-10-18;2790900.418;1152605.584;2734.51065
2018-10-19;2790900.417;1152605.589;2734.5234
2018-10-20;2790900.423;1152605.594;2734.495
2018-10-21;2790900.421;1152605.594;2734.4949
2018-10-22;2790900.422;1152605.595;2734.4995
2018-10-23;2790900.421;1152605.598;2734.4939
2018-10-24;2790900.416;1152605.609;2734.496
2018-10-25;2790900.422;1152605.599;2734.4815
2018-10-26;2790900.419;1152605.599;2734.4786
2018-10-27;2790900.415;1152605.601;2734.4991
2018-10-28;2790900.417;1152605.597;2734.4831
2018-10-29;2790900.531;1152605.385;2734.495
2018-10-30;2790900.522;1152605.379;2734.491
2018-10-31;2790900.519;1152605.382;2734.4999
2018-11-01;2790900.518;1152605.379;2734.4919
2018-11-02;2790900.517;1152605.374;2734.50085
2018-11-03;2790900.518;1152605.382;2734.48505
2018-11-04;2790900.518;1152605.378;2734.4928
2018-11-05;2790900.514;1152605.38;2734.4911
2018-11-06;2790900.514;1152605.377;2734.4886
2018-11-08;2790900.51;1152605.372;2734.4873
2018-11-09;2790900.51;1152605.373;2734.4838
2018-11-11;2790900.508;1152605.377;2734.4849
